model,qp,bpp,psnr,psnr_y,mse,ssim,ms_ssim,lpips
DCVC_RT,0,0.013003,31.207580,27.321705,0.000996,0.886152,0.924700,0.188721
DCVC_RT,4,0.015477,32.500567,28.668868,0.000760,0.899664,0.937744,0.158381
DCVC_RT,8,0.018336,33.804049,30.080371,0.000578,0.913034,0.948104,0.123275
DCVC_RT,12,0.021993,34.858228,31.240892,0.000462,0.922120,0.955796,0.099511
DCVC_RT,16,0.025243,35.754172,32.234699,0.000390,0.927978,0.960790,0.083802
DCVC_RT,20,0.029343,36.434260,33.005034,0.000344,0.932130,0.964621,0.073203
DCVC_RT,25,0.034856,37.427372,34.160390,0.000295,0.937162,0.968468,0.059695
DCVC_RT,30,0.040863,38.210534,35.048372,0.000272,0.939687,0.971135,0.053202
DCVC_RT,40,0.055788,39.627161,36.696226,0.000234,0.944943,0.975321,0.043527
DCVC_RT,50,0.077167,40.752196,38.033061,0.000205,0.948926,0.978206,0.036988
DCVC_RT,63,0.123591,41.994590,39.478308,0.000177,0.954461,0.980932,0.032348
