model,qp,bpp,psnr,psnr_y,mse,ssim,ms_ssim,lpips
DCVC_RT,0,0.012049,32.998270,29.300095,0.000702,0.909359,0.945725,0.181810
DCVC_RT,4,0.014526,34.011598,30.385814,0.000558,0.915698,0.953303,0.163640
DCVC_RT,8,0.017221,34.965039,31.418849,0.000449,0.921113,0.958830,0.147557
DCVC_RT,12,0.020751,35.753699,32.287853,0.000374,0.925285,0.963168,0.136560
DCVC_RT,16,0.023733,36.508451,33.066634,0.000318,0.928555,0.966395,0.128365
DCVC_RT,20,0.027258,37.002622,33.584146,0.000290,0.930620,0.968645,0.122227
DCVC_RT,25,0.031784,37.727586,34.359875,0.000254,0.934266,0.971599,0.111105
DCVC_RT,30,0.036906,38.655331,35.431605,0.000226,0.938724,0.974192,0.097879
DCVC_RT,40,0.048907,40.257875,37.347635,0.000182,0.947668,0.978983,0.069831
DCVC_RT,50,0.065187,41.404125,38.635218,0.000156,0.952945,0.981384,0.055846
DCVC_RT,63,0.101596,42.465135,39.957125,0.000135,0.957141,0.983230,0.047704
