model,qp,bpp,psnr,psnr_y,mse,ssim,ms_ssim,lpips
DCVC_RT,0,0.012061,32.670826,28.966256,0.000727,0.912682,0.941597,0.164895
DCVC_RT,4,0.014415,33.978784,30.426533,0.000558,0.920213,0.950228,0.142773
DCVC_RT,8,0.016974,34.800638,31.308199,0.000456,0.925517,0.955697,0.129738
DCVC_RT,12,0.020614,35.520012,32.095329,0.000387,0.929809,0.960526,0.117887
DCVC_RT,16,0.023516,36.357121,32.992258,0.000327,0.934473,0.965069,0.104693
DCVC_RT,20,0.027372,37.199368,33.973682,0.000282,0.938786,0.968771,0.091486
DCVC_RT,25,0.032411,38.176554,35.139604,0.000240,0.942922,0.972328,0.080279
DCVC_RT,30,0.037541,38.860170,35.868894,0.000221,0.944889,0.974453,0.074903
DCVC_RT,40,0.050352,40.174172,37.356532,0.000182,0.950035,0.978505,0.060460
DCVC_RT,50,0.068224,41.269517,38.621667,0.000155,0.954461,0.981261,0.049988
DCVC_RT,63,0.106640,42.398131,39.957139,0.000132,0.958727,0.983511,0.041365
