cannot import cuda implementation for inference, fallback to pytorch.
警告: 以下QP值超出安全范围 [0, 71]，将被跳过: [75, 80]
将测试以下QP值: [20, 25, 30, 35, 40, 45, 50, 55, 60, 65, 70]

================================================================================
开始多QP测试
================================================================================


================================================================================
测试 QP = 20
================================================================================

QP=20 | Frame 01: Weighted PSNR: 33.768 dB | Y: 31.875 | U: 39.746 | V: 39.145 | Bpp: 0.0622
QP=20 | Frame 02: Weighted PSNR: 33.340 dB | Y: 31.420 | U: 39.582 | V: 38.622 | Bpp: 0.0032
QP=20 | Frame 03: Weighted PSNR: 33.713 dB | Y: 31.840 | U: 39.629 | V: 39.035 | Bpp: 0.0224
QP=20 | Frame 04: Weighted PSNR: 33.490 dB | Y: 31.602 | U: 39.498 | V: 38.814 | Bpp: 0.0030
QP=20 | Frame 05: Weighted PSNR: 34.001 dB | Y: 32.174 | U: 39.613 | V: 39.353 | Bpp: 0.0166
QP=20 | Frame 06: Weighted PSNR: 33.636 dB | Y: 31.732 | U: 39.497 | V: 39.196 | Bpp: 0.0029
QP=20 | Frame 07: Weighted PSNR: 33.838 dB | Y: 32.003 | U: 39.513 | V: 39.170 | Bpp: 0.0116
QP=20 | Frame 08: Weighted PSNR: 33.568 dB | Y: 31.658 | U: 39.507 | V: 39.095 | Bpp: 0.0043
QP=20 | Frame 09: Weighted PSNR: 33.888 dB | Y: 32.005 | U: 39.712 | V: 39.365 | Bpp: 0.0127
QP=20 | Frame 10: Weighted PSNR: 33.529 dB | Y: 31.573 | U: 39.569 | V: 39.228 | Bpp: 0.0034
QP=20 | Frame 11: Weighted PSNR: 33.691 dB | Y: 31.737 | U: 39.592 | V: 39.509 | Bpp: 0.0111
QP=20 | Frame 12: Weighted PSNR: 33.260 dB | Y: 31.249 | U: 39.423 | V: 39.162 | Bpp: 0.0038
QP=20 | Frame 13: Weighted PSNR: 33.827 dB | Y: 31.899 | U: 39.678 | V: 39.548 | Bpp: 0.0157
QP=20 | Frame 14: Weighted PSNR: 33.534 dB | Y: 31.553 | U: 39.553 | V: 39.401 | Bpp: 0.0031
